county,state,region,media_market,reg_16,reg_18,reg_20,r16,d16,r18,d18,d20,r20
Adams,Ohio ,Southwest,Cincinnati,"16,945","17,264","17,246","8,659","2,326","6,302","2,184","2,156","9,870"
Allen,Ohio ,West,Lima,"68,054","69,338","67,374","30,487","13,294","24,200","10,825","14,149","33,116"
Ashland,Ohio ,Northeast,Cleveland,"35,452","35,529","34,837","17,493","5,740","12,846","5,157","6,541","19,407"
Ashtabula,Ohio ,Northeast,Cleveland,"60,624","62,311","61,453","23,318","15,577","17,184","13,668","16,497","26,890"
Athens,Ohio ,Southeast,Charleston,"45,418","45,318","39,344","11,354","16,370","7,566","14,261","14,772","10,862"
Auglaize,Ohio ,West,Dayton,"31,666","32,253","32,489","18,658","3,980","14,902","3,676","4,651","20,798"
Belmont,Ohio ,Southeast,Wheeling,"46,971","47,702","46,315","21,108","8,785","15,614","8,686","9,138","23,560"
Brown,Ohio ,Southwest,Cincinnati,"28,405","28,950","29,069","14,573","4,353","10,668","3,683","4,380","16,480"
Butler,Ohio ,Southwest,Cincinnati,"247,972","254,708","256,908","106,976","58,642","82,771","48,890","69,613","114,392"
Carroll,Ohio ,Northeast,Cleveland,"18,002","18,315","18,416","9,254","3,154","6,772","3,114","3,251","10,745"
Champaign,Ohio ,West,Dayton,"25,696","26,398","26,492","12,631","4,594","10,023","4,197","5,062","14,589"
Clark,Ohio ,West,Dayton,"89,006","90,384","89,826","35,205","23,328","27,967","18,537","24,076","39,032"
Clermont,Ohio ,Southwest,Cincinnati,"136,454","141,345","145,129","67,518","26,715","53,508","23,847","34,092","74,570"
Clinton,Ohio ,Southwest,Cincinnati,"26,351","27,252","27,616","13,838","4,066","10,884","3,647","4,697","15,488"
Columbiana,Ohio ,Northeast,Youngstown,"65,637","66,688","66,293","31,676","12,432","22,846","11,625","13,359","35,726"
Coshocton,Ohio ,Central,Columbus,"22,905","23,119","22,730","10,785","4,013","7,768","3,738","4,125","12,325"
Crawford,Ohio ,Central,Columbus,"28,096","28,557","28,211","13,611","4,625","9,786","4,202","4,916","15,436"
Cuyahoga,Ohio ,Northeast,Cleveland,"890,626","902,652","888,556","184,211","398,271","150,848","323,276","416,176","202,699"
